id,name,lat,lon,type, fuel,region,country,status,capacity_tonnes,emfpm10, pm10_t_yr,emfpm25,pm25_t_yr,emfso2,�so2_t_yr,emfnox,nox_t_yr,source
WSI-126,"Lenninagar, Shyamnagar, Garshyamnagar",22.81777778,88.37138889,Plastic_waste,,,India,operating_status,970,,,,,,,,,
WSI-127,"Chandannagar, Singur, Hugli",22.83416667,88.34638889,Plastic_waste,,,India,operating_status,497,,,,,,,,,
WSI-128,"Maheshtala, Thakurpukur Maheshtala, South 24 Parganas",22.49277778,88.20555556,Plastic_waste,,,India,operating_status,"2,294",,,,,,,,,
WSI-129,"Maheshtala, Thakurpukur Maheshtala, South 24 Parganas",22.54388889,88.27527778,Plastic_waste,,,India,operating_status,856,,,,,,,,,
WSI-130,"Budge Budge, Budge Budge - I, South 24 Parganas",22.47333333,88.18888889,Plastic_waste,,,India,operating_status,785,,,,,,,,,
WSI-131,"Dhapa Road, Makaltala, Kolkata",22.53666667,88.42416667,Plastic_waste,,,India,operating_status,"91,275",,,,,,,,,
WSI-132,"GP Block, Bhangar - II, South 24 Parganas",22.56416667,88.44805556,Plastic_waste,,,India,operating_status,"39,800",,,,,,,,,
WSI-133,"Rajpur Sonarpur, Sonarpur, South 24 Parganas",22.42222222,88.42527778,Plastic_waste,,,India,operating_status,898,,,,,,,,,
WSI-134,"Bally, Bally Jagachha, Howrah",22.63555556,88.33388889,Plastic_waste,,,India,operating_status,"3,308",,,,,,,,,
WSI-135,"Howrah, Haora, Howrah",22.61027778,88.32611111,Plastic_waste,,,India,operating_status,"1,660",,,,,,,,,
WSI-136,"Uttarpara Kotrung, Serampur Uttarpara, Hugli",22.66666667,88.33527778,Plastic_waste,,,India,operating_status,"2,451",,,,,,,,,
WSI-137,"Jiaganj, Murshidabad Jiaganj, Murshidabad",24.22611111,88.26777778,Plastic_waste,,,India,operating_status,"1,997",,,,,,,,,
WSI-138,"Rajgram, Murarai - I, Birbhum",24.54472222,87.87027778,Plastic_waste,,,India,operating_status,404,,,,,,,,,
WSI-139,"Rampurhat, Rampurhat - I, Birbhum",24.18777778,87.75694444,Plastic_waste,,,India,operating_status,"2,545",,,,,,,,,
WSI-140,"Nabadwip, Nadia, West Bengal",23.41527778,88.35555556,Plastic_waste,,,India,operating_status,932,,,,,,,,,
WSI-141,"SH4, Ghatal, Paschim Medinipur",22.66361111,87.72388889,Plastic_waste,,,India,operating_status,"1,845",,,,,,,,,
WSI-142,"Bolpur Nursing Home, NH114, Shantiniketan",23.68055556,87.72222222,Plastic_waste,,,India,operating_status,"5,150",,,,,,,,,
WSI-143,"Ward 26, Kishangarh, Chandigarh",30.72333333,76.8275,Plastic_waste,,,India,operating_status,"9,975",,,,,,,,,
WSI-144,"Sonipat, Haryana, 131001",29.03555556,77.05916667,Plastic_waste,,,India,operating_status,"2,284",,,,,,,,,
WSI-145,"Baraut, Baghpat, Uttar Pradesh",29.085,77.25833333,Plastic_waste,,,India,operating_status,"1,685",,,,,,,,,
WSI-146,"Sardhana, Meerut, Uttar Pradesh",29.14333333,77.61944444,Plastic_waste,,,India,operating_status,299,,,,,,,,,
WSI-147,"Kurukshetra, Thanesar, Kurukshetra",29.96166667,76.83611111,Plastic_waste,,,India,operating_status,556,,,,,,,,,
WSI-148,"Meerut-Karnal Marg, Mirgain, Karnal",29.64361111,77.04833333,Plastic_waste,,,India,operating_status,"12,127",,,,,,,,,
WSI-149,"Panipat, Haryana, 132100",29.41444444,76.94972222,Plastic_waste,,,India,operating_status,736,,,,,,,,,
WSI-150,"Foster Supermarket, E331, Indiaustrial Area",30.70944444,76.6825,Plastic_waste,,,India,operating_status,"13,429",,,,,,,,,
WSI-151,"Khanpur, Kharar Tahsil, Sahibzada Ajit Singh Nagar",30.76361111,76.63916667,Plastic_waste,,,India,operating_status,395,,,,,,,,,
WSI-152,"Malerkotla, Malerkotla Tahsil, Sangrur",30.54666667,75.86388889,Plastic_waste,,,India,operating_status,"6,388",,,,,,,,,
WSI-153,"Dinanagar, Gurdaspur Tahsil, Gurdaspur district",32.12722222,75.46916667,Plastic_waste,,,India,operating_status,"1,112",,,,,,,,,
WSI-154,"Raebareli, Uttar Pradesh, 229001",26.20555556,81.27194444,Plastic_waste,,,India,operating_status,675,,,,,,,,,
WSI-155,"Chowk, Faizabad, Uttar Pradesh",26.8,82.14,Plastic_waste,,,India,operating_status,755,,,,,,,,,
WSI-156,"Karchhana, Prayagraj, Uttar Pradesh",25.37944444,81.80527778,Plastic_waste,,,India,operating_status,"1,841",,,,,,,,,
WSI-157,"Unnao, Uttar Pradesh, 209800",26.55555556,80.52027778,Plastic_waste,,,India,operating_status,"10,551",,,,,,,,,
WSI-158,"Barabanki, Nawabganj, Barabanki",26.93583333,81.21472222,Plastic_waste,,,India,operating_status,139,,,,,,,,,
WSI-159,"Aurangabad, Sadar, Lucknow",26.76416667,80.90833333,Plastic_waste,,,India,operating_status,639,,,,,,,,,
WSI-160,"Civil Lines, Lucknow, Sadar",26.86194444,80.97027778,Plastic_waste,,,India,operating_status,363,,,,,,,,,
WSI-161,"Tankri, Bawal, Rewari District",28.07888889,76.505,Plastic_waste,,,India,operating_status,487,,,,,,,,,
WSI-162,"Bawal, Rewari District, Haryana",28.08083333,76.56805556,Plastic_waste,,,India,operating_status,800,,,,,,,,,
